game_id,possession_number,offense_team,defense_team,seconds_left_in_game,score_difference,foul_called_this_possession,trigger_last2_opp_possessions,def_foul_called_in_next2_defensive_team_possessions,foul_next2_state
0022500789,103,OKC,MIL,1301.0,-9,0,0,0,0
0022500789,104,MIL,OKC,1287.0,11,0,0,0,0
0022500789,105,OKC,MIL,1269.0,-9,0,0,0,0
0022500789,106,MIL,OKC,1250.0,11,0,0,0,0
0022500789,107,OKC,MIL,1236.999,-11,0,0,0,0
0022500789,108,MIL,OKC,1213.0,11,0,0,0,0
0022500789,109,OKC,MIL,1207.0,-11,0,0,0,0
0022500789,110,MIL,OKC,1193.0,11,0,0,0,0
0022500789,111,OKC,MIL,1182.0,-9,0,0,0,0
0022500789,112,MIL,OKC,1168.0,9,0,0,0,0
0022500789,113,OKC,MIL,1151.0,-7,0,0,0,0
0022500789,114,MIL,OKC,1135.0,7,0,0,0,0
0022500789,115,OKC,MIL,1127.0,-7,0,0,0,0
0022500789,116,MIL,OKC,1112.0,10,0,0,0,0
0022500789,117,OKC,MIL,1082.999,-10,0,0,0,0
0022500789,118,MIL,OKC,1070.0,10,0,0,1,0
0022500789,119,OKC,MIL,1060.999,-10,0,0,0,0
0022500789,120,MIL,OKC,1049.0,10,0,0,1,0
0022500789,121,OKC,MIL,1036.994,-9,1,0,0,1
0022500789,122,MIL,OKC,1014.0,12,0,1,0,0
0022500789,123,OKC,MIL,996.0,-12,0,0,0,0
0022500789,124,MIL,OKC,988.999,12,0,1,0,0
0022500789,125,OKC,MIL,967.999,-10,0,0,0,0
0022500789,126,MIL,OKC,958.0,12,0,0,0,0
0022500789,127,OKC,MIL,943.0,-9,0,0,0,0
0022500789,128,MIL,OKC,917.0,12,0,0,0,0
0022500789,129,OKC,MIL,894.0,-12,0,0,0,0
0022500789,130,MIL,OKC,877.0,12,0,0,0,0
0022500789,131,OKC,MIL,871.0,-9,0,0,0,0
0022500789,132,MIL,OKC,842.0,12,0,0,0,0
0022500789,133,OKC,MIL,827.0,-12,0,0,0,0
0022500789,134,MIL,OKC,805.0,14,0,0,0,0
0022500789,135,OKC,MIL,783.0,-14,0,0,0,0
0022500789,136,MIL,OKC,774.1,14,0,0,0,0
0022500789,137,OKC,MIL,762.7,-14,0,0,0,0
0022500789,138,MIL,OKC,750.699,16,0,0,0,0
0022500789,139,OKC,MIL,739.799,-16,0,0,0,0
0022500789,140,MIL,OKC,719.994,16,0,0,0,0
0022500789,141,OKC,MIL,711.0,-16,0,0,0,0
0022500789,142,MIL,OKC,706.0,16,0,0,0,0
0022500789,143,OKC,MIL,698.0,-16,0,0,0,0
0022500789,144,MIL,OKC,675.0,19,0,0,0,0
0022500789,145,OKC,MIL,662.0,-19,0,0,0,0
0022500789,146,MIL,OKC,642.0,22,0,0,0,0
0022500789,147,OKC,MIL,627.0,-19,0,0,0,0
0022500789,148,MIL,OKC,610.0,22,0,0,0,0
0022500789,149,OKC,MIL,591.0,-22,0,0,0,0
0022500789,150,MIL,OKC,577.0,22,0,0,1,0
0022500789,151,OKC,MIL,566.0,-22,0,0,0,0
0022500789,152,MIL,OKC,552.0,22,0,0,1,0
0022500789,153,OKC,MIL,533.998,-20,1,0,0,1
0022500789,154,MIL,OKC,517.0,20,0,1,0,0
0022500789,155,OKC,MIL,482.0,-17,0,0,0,0
0022500789,156,MIL,OKC,456.0,19,0,1,0,0
0022500789,157,OKC,MIL,440.0,-19,0,0,0,0
0022500789,158,MIL,OKC,423.0,21,0,0,0,0
0022500789,159,OKC,MIL,404.0,-21,0,0,0,0
0022500789,160,MIL,OKC,392.0,23,0,0,0,0
0022500789,161,OKC,MIL,377.0,-21,0,0,0,0
0022500789,162,MIL,OKC,355.0,21,0,0,0,0
0022500789,163,OKC,MIL,345.0,-21,0,0,0,0
0022500789,164,MIL,OKC,313.0,21,0,0,0,0
0022500789,165,OKC,MIL,308.0,-18,0,0,0,0
0022500789,166,MIL,OKC,281.0,20,0,0,0,0
0022500789,167,OKC,MIL,257.999,-20,0,0,0,0
0022500789,168,MIL,OKC,237.0,20,0,0,0,0
0022500789,169,OKC,MIL,228.0,-20,0,0,0,0
0022500789,170,MIL,OKC,211.0,22,0,0,0,0
0022500789,171,OKC,MIL,194.0,-22,0,0,0,0
0022500789,172,MIL,OKC,175.999,22,0,0,0,0
0022500789,173,OKC,MIL,163.0,-22,0,0,0,0
0022500789,174,MIL,OKC,152.0,24,0,0,1,0
0022500789,175,OKC,MIL,140.0,-21,0,0,0,0
0022500789,176,MIL,OKC,130.0,21,0,0,1,0
0022500789,177,OKC,MIL,117.998,-19,1,0,0,1
0022500789,178,MIL,OKC,104.0,19,0,1,0,0
0022500789,179,OKC,MIL,85.0,-19,0,0,0,0
0022500789,180,MIL,OKC,67.0,19,0,1,1,0
0022500789,181,OKC,MIL,62.0,-19,0,0,0,0
0022500789,182,MIL,OKC,47.4,19,0,0,1,0
0022500789,183,OKC,MIL,41.198,-17,1,0,0,1
0022500789,184,MIL,OKC,2.0,17,0,1,0,0
0022500789,185,OKC,MIL,0.0,-17,0,0,0,0
