season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_percentile
2025-26,2026-03-24,22500001,2025-10-21T19:30:00-04:00,3,Final,HOU,OKC,HOU @ OKC,225,225,0,1,1,224,0.230131360242896,0.300722394773686,0.7652617970673102,-0.2675372853103172,0.7652617970673102,0.3705292471964453,ok,56.06936416184971
2025-26,2026-03-24,22500002,2025-10-21T22:00:00-04:00,3,Final,GSW,LAL,GSW @ LAL,201,201,11,0,11,190,0.1739613606886212,0.2561577756769232,0.6791180171240575,-0.3869603563292494,0.6791180171240575,0.2600361170794064,ok,46.72447013487476
2025-26,2026-03-24,22500003,2025-10-22T19:00:00-04:00,3,Final,CLE,NYK,CLE @ NYK,208,208,10,1,11,197,0.3040136343422668,0.2345139666494498,1.2963561986766643,0.2595574048251288,1.296356198676664,0.3676191402789653,ok,92.77456647398844
2025-26,2026-03-24,22500004,2025-10-22T21:30:00-04:00,3,Final,SAS,DAL,SAS @ DAL,200,200,76,0,76,124,0.2116124017602503,0.3471346213777614,0.6095975126893722,-0.4949563548519941,0.6095975126893722,0.1840895585917158,ok,36.60886319845857
2025-26,2026-03-24,22500005,2025-10-23T19:30:00-04:00,3,Final,OKC,IND,OKC @ IND,245,245,0,2,2,243,0.2715692847794017,0.3772703564871273,0.7198267240184499,-0.3287447570210484,0.7198267240184498,0.1589789634079733,ok,51.541425818882466
2025-26,2026-03-24,22500006,2025-10-23T22:00:00-04:00,3,Final,DEN,GSW,DEN @ GSW,211,211,0,1,1,210,0.1326794625688278,0.2180528844710011,0.60847377869231,-0.4968014591965713,0.60847377869231,0.1941452130646036,ok,36.22350674373796
2025-26,2026-03-24,22500007,2025-10-27T19:00:00-04:00,3,Final,CLE,DET,CLE @ DET,208,208,140,0,140,68,0.1611800297680952,0.3785954341417838,0.4257315731592615,-0.8539462412702615,0.4257315731592614,0.1078611983550071,ok,16.76300578034682
2025-26,2026-03-24,22500008,2025-10-27T21:30:00-04:00,3,Final,DEN,MIN,DEN @ MIN,204,204,5,1,6,198,0.2240946938526323,0.2606601890492153,0.8597196782141553,-0.1511488984345809,0.8597196782141555,0.6230255514232823,ok,66.66666666666666
2025-26,2026-03-24,22500009,2025-12-25T12:00:00-05:00,3,Final,CLE,NYK,CLE @ NYK,206,206,16,2,18,188,0.1998486574543548,0.1955499608738477,1.0219826000542145,0.0217444662493133,1.0219826000542145,0.9527993897706116,ok,80.2504816955684
2025-26,2026-03-24,22500010,2025-12-25T14:30:00-05:00,3,Final,SAS,OKC,SAS @ OKC,193,193,37,0,37,156,0.1321105107667067,0.2329779130238204,0.5670516533178803,-0.5673048800776092,0.5670516533178802,0.1941933644605264,ok,30.732177263969174
2025-26,2026-03-24,22500011,2025-12-25T17:00:00-05:00,3,Final,DAL,GSW,DAL @ GSW,211,211,5,0,5,206,0.1484265609864541,0.230835905880146,0.6429959863502334,-0.4416167968320659,0.6429959863502333,0.2294402420439198,ok,41.32947976878613
2025-26,2026-03-24,22500012,2025-12-25T20:00:00-05:00,3,Final,HOU,LAL,HOU @ LAL,180,180,76,0,76,104,0.4370157763462673,0.1395420514277685,3.1317855218179935,1.1416032961598357,3.131785521817994,0.0104882097866562,ok,99.8073217726397
2025-26,2026-03-24,22500013,2025-12-25T22:30:00-05:00,3,Final,MIN,DEN,MIN @ DEN,234,234,4,5,9,225,0.1287918762621439,0.2740566160723492,0.4699462399701516,-0.7551369738625021,0.4699462399701518,0.0347881082285273,ok,20.520231213872833
2025-26,2026-03-24,22500014,2026-01-19T13:00:00-05:00,3,Final,MIL,ATL,MIL @ ATL,204,204,61,2,63,141,0.2391820988075003,0.2091842424530289,1.1434039964133882,0.1340097750431195,1.143403996413388,0.7291123001621722,ok,86.70520231213872
2025-26,2026-03-24,22500015,2026-01-19T14:30:00-05:00,3,Final,OKC,CLE,OKC @ CLE,212,212,80,0,80,132,0.2087536625991844,0.3152334135539082,0.6622193385076718,-0.4121584508709516,0.6622193385076717,0.2630494946665253,ok,44.1233140655106
2025-26,2026-03-24,22500016,2026-01-19T17:00:00-05:00,3,Final,DAL,NYK,DAL @ NYK,209,209,142,0,142,67,0.0642340082927422,0.1361022419340734,0.4719540793740676,-0.7508735875912294,0.4719540793740677,0.4891388587299696,ok,20.616570327552985
2025-26,2026-03-24,22500017,2026-01-19T20:00:00-05:00,3,Final,BOS,DET,BOS @ DET,185,185,0,0,0,185,0.3245217021126148,0.343242582671079,0.9454587469515576,-0.056085022769847,0.9454587469515576,0.8301812076252306,ok,74.56647398843931
2025-26,2026-03-24,22500018,2025-10-24T19:30:00-04:00,3,Final,BOS,NYK,BOS @ NYK,186,186,47,0,47,139,0.1759864604354865,0.3163885104174328,0.5562353076706094,-0.5865638590269535,0.5562353076706095,0.1274658478147027,ok,30.057803468208093
2025-26,2026-03-24,22500019,2025-10-24T22:00:00-04:00,3,Final,MIN,LAL,MIN @ LAL,185,185,43,0,43,142,0.2808338087672108,0.3437017604228125,0.8170857444015903,-0.2020112393210885,0.8170857444015902,0.526151412450023,ok,61.175337186897885
2025-26,2026-03-24,22500020,2025-10-31T19:00:00-04:00,3,Final,ATL,IND,ATL @ IND,203,203,83,0,83,120,0.2348614000026215,0.245409244314603,0.9570193684372392,-0.043931649032583,0.9570193684372392,0.9116503327446736,ok,75.14450867052022
2025-26,2026-03-24,22500021,2025-10-31T19:00:00-04:00,3,Final,BOS,PHI,BOS @ PHI,194,194,43,1,44,150,0.1995948750767683,0.2302336567823234,0.8669230983264846,-0.1428050047209167,0.8669230983264847,0.7164839788789428,ok,67.63005780346822
2025-26,2026-03-24,22500022,2025-10-31T19:30:00-04:00,3,Final,TOR,CLE,TOR @ CLE,195,195,0,0,0,195,0.1929182235674407,0.2029264579402394,0.9506804855592262,-0.0505772502197158,0.950680485559226,0.8877779914362421,ok,74.75915221579962
2025-26,2026-03-24,22500023,2025-10-31T20:00:00-04:00,3,Final,NYK,CHI,NYK @ CHI,196,196,22,2,24,172,0.1953726690888664,0.3587727269818352,0.5445583077967858,-0.6077802573160777,0.5445583077967857,0.0593911512726761,ok,28.32369942196532
2025-26,2026-03-24,22500024,2025-10-31T21:30:00-04:00,3,Final,LAL,MEM,LAL @ MEM,195,195,1,1,2,193,0.2878288383998727,0.2428869358669032,1.1850321935700845,0.1697699417877542,1.1850321935700845,0.5650789834726448,ok,88.82466281310212
2025-26,2026-03-24,22500025,2025-10-31T22:00:00-04:00,3,Final,UTA,PHX,UTA @ PHX,202,202,113,0,113,89,0.2738159048438378,0.2007249865999121,1.364134627591788,0.310520255131178,1.3641346275917876,0.5190358654395901,ok,94.21965317919076
2025-26,2026-03-24,22500026,2025-10-31T22:00:00-04:00,3,Final,DEN,POR,DEN @ POR,196,196,0,1,1,195,0.1981492629572727,0.315090771696549,0.628864063172571,-0.4638401614209536,0.6288640631725709,0.1367398627999862,ok,39.017341040462426
2025-26,2026-03-24,22500027,2025-10-31T22:30:00-04:00,3,Final,NOP,LAC,NOP @ LAC,197,197,6,0,6,191,0.2430183569572599,0.248190413119055,0.9791609349579752,-0.0210592628749052,0.9791609349579752,0.9452873228736016,ok,77.07129094412332
2025-26,2026-03-24,22500028,2025-11-07T19:00:00-05:00,3,Final,BOS,ORL,BOS @ ORL,198,198,4,0,4,194,0.208605892866083,0.3249379028437609,0.6419869490152599,-0.4431873041354723,0.6419869490152599,0.1401211544902725,ok,41.13680154142582
2025-26,2026-03-24,22500029,2025-11-07T19:00:00-05:00,3,Final,CLE,WAS,CLE @ WAS,207,207,114,0,114,93,0.17352545586585,0.2909815876090802,0.5963451409130848,-0.5169356840361233,0.5963451409130847,0.2830026298503093,ok,34.296724470134876
2025-26,2026-03-24,22500030,2025-11-07T19:30:00-05:00,3,Final,TOR,ATL,TOR @ ATL,200,200,0,1,1,199,0.1643332135174771,0.2460754256190436,0.667816435160356,-0.4037419408734253,0.6678164351603562,0.2461993434303155,ok,45.18304431599229
2025-26,2026-03-24,22500031,2025-11-07T19:30:00-05:00,3,Final,DET,BKN,DET @ BKN,199,199,63,1,63,136,0.0792910020267556,0.2805281419891455,0.2826490114842868,-1.2635493931806383,0.2826490114842868,0.0202168749068496,ok,7.129094412331407
2025-26,2026-03-24,22500032,2025-11-07T19:30:00-05:00,3,Final,HOU,SAS,HOU @ SAS,200,200,0,1,1,199,0.1673408777906364,0.2720207840733793,0.6151768084952477,-0.4858455590057457,0.6151768084952476,0.1507205914685967,ok,36.99421965317919
2025-26,2026-03-24,22500033,2025-11-07T20:00:00-05:00,3,Final,CHA,MIA,CHA @ MIA,211,211,42,1,42,169,0.1551508394791283,0.2213947820291854,0.7007881489215746,-0.3555496502883688,0.7007881489215745,0.3814427652378838,ok,49.13294797687861
2025-26,2026-03-24,22500034,2025-11-07T20:00:00-05:00,3,Final,DAL,MEM,DAL @ MEM,198,198,117,0,117,81,0.1968791709759894,0.2375087462091572,0.8289344039676408,-0.187614253675183,0.828934403967641,0.7115649210980086,ok,62.71676300578035
2025-26,2026-03-24,22500035,2025-11-07T20:00:00-05:00,3,Final,CHI,MIL,CHI @ MIL,211,211,5,0,5,206,0.1675635964563618,0.2208712140004291,0.7586484151621328,-0.2762168300368176,0.7586484151621331,0.4365332887715457,ok,55.58766859344894
2025-26,2026-03-24,22500036,2025-11-07T20:00:00-05:00,3,Final,UTA,MIN,UTA @ MIN,210,210,189,0,189,21,3.289790566270807e-10,0.1173929880137312,2.8023739934841822e-09,-19.692798924175335,2.8023739934841806e-09,0.9990645896543612,ok,2.2157996146435455
2025-26,2026-03-24,22500037,2025-11-07T22:00:00-05:00,3,Final,GSW,DEN,GSW @ DEN,190,190,98,0,98,92,0.1723398350681382,0.1162958989741372,1.481908103281135,0.3933305163690536,1.4819081032811352,0.5478367632082897,ok,96.14643545279384
2025-26,2026-03-24,22500038,2025-11-07T22:00:00-05:00,3,Final,OKC,SAC,OKC @ SAC,209,209,64,1,64,145,0.1000008518733199,0.1904755723441035,0.5250061760815368,-0.6443452524948763,0.5250061760815368,0.2403413017191319,ok,26.878612716763005
2025-26,2026-03-24,22500039,2025-11-14T19:00:00-05:00,3,Final,MIA,NYK,MIA @ NYK,203,203,1,0,1,202,0.1974450466967266,0.3058741203064427,0.6455107954177837,-0.4377133447178832,0.6455107954177837,0.1487008288767466,ok,41.811175337186896
2025-26,2026-03-24,22500040,2025-11-14T19:00:00-05:00,3,Final,BKN,ORL,BKN @ ORL,185,185,5,1,6,179,0.2036156665504961,0.1998909950904248,1.018633513022367,0.0184620359897415,1.0186335130223667,0.9591648950760558,ok,79.86512524084779
2025-26,2026-03-24,22500041,2025-11-14T19:30:00-05:00,3,Final,PHI,DET,PHI @ DET,198,198,0,0,0,198,0.1742467762939116,0.2001910831503613,0.8704022854156636,-0.1387997771765716,0.8704022854156639,0.7084773382248574,ok,68.11175337186897
2025-26,2026-03-24,22500042,2025-11-14T20:00:00-05:00,3,Final,POR,HOU,POR @ HOU,201,201,82,0,82,119,0.2063014992945741,0.2835783137360265,0.7274939207326454,-0.3181496363526479,0.7274939207326452,0.4426239022104468,ok,52.312138728323696
2025-26,2026-03-24,22500043,2025-11-14T20:00:00-05:00,3,Final,CHA,MIL,CHA @ MIL,219,219,0,1,1,218,0.1215459244972938,0.2431333686656918,0.4999146154406284,-0.6933179642613947,0.4999146154406284,0.0654382494916111,ok,23.699421965317917
2025-26,2026-03-24,22500044,2025-11-14T20:00:00-05:00,3,Final,SAC,MIN,SAC @ MIN,208,208,14,1,15,193,0.1507468879936274,0.3174704892446946,0.4748374828547837,-0.7447826748495542,0.4748374828547838,0.0314536093516867,ok,21.19460500963391
2025-26,2026-03-24,22500045,2025-11-14T20:00:00-05:00,3,Final,LAL,NOP,LAL @ NOP,207,207,53,0,53,154,0.2050915034808096,0.2090434554099612,0.981095069819807,-0.0190859129810526,0.9810950698198068,0.9603119591562368,ok,77.16763005780348
