season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_percentile
2025-26,2026-03-23,22500001,2025-10-21T19:30:00-04:00,3,Final,HOU,OKC,HOU @ OKC,225,225,0,1,1,224,0.230131360242896,0.300722394773686,0.7652617970673102,-0.2675372853103172,0.7652617970673102,0.3705292471964453,ok,56.14714424007744
2025-26,2026-03-23,22500002,2025-10-21T22:00:00-04:00,3,Final,GSW,LAL,GSW @ LAL,201,201,11,0,11,190,0.1739613606886212,0.2561577756769232,0.6791180171240575,-0.3869603563292494,0.6791180171240575,0.2600361170794064,ok,46.75701839303001
2025-26,2026-03-23,22500003,2025-10-22T19:00:00-04:00,3,Final,CLE,NYK,CLE @ NYK,208,208,10,1,11,197,0.3040136343422668,0.2345139666494498,1.2963561986766643,0.2595574048251288,1.296356198676664,0.3676191402789653,ok,92.73959341723138
2025-26,2026-03-23,22500004,2025-10-22T21:30:00-04:00,3,Final,SAS,DAL,SAS @ DAL,200,200,76,0,76,124,0.2116124017602503,0.3471346213777614,0.6095975126893722,-0.4949563548519941,0.6095975126893722,0.1840895585917158,ok,36.59244917715392
2025-26,2026-03-23,22500005,2025-10-23T19:30:00-04:00,3,Final,OKC,IND,OKC @ IND,245,245,0,2,2,243,0.2715692847794017,0.3772703564871273,0.7198267240184499,-0.3287447570210484,0.7198267240184498,0.1589789634079733,ok,51.597289448209104
2025-26,2026-03-23,22500006,2025-10-23T22:00:00-04:00,3,Final,DEN,GSW,DEN @ GSW,211,211,0,1,1,210,0.1326794625688278,0.2180528844710011,0.60847377869231,-0.4968014591965713,0.60847377869231,0.1941452130646036,ok,36.205227492739596
2025-26,2026-03-23,22500007,2025-10-27T19:00:00-04:00,3,Final,CLE,DET,CLE @ DET,208,208,140,0,140,68,0.1611800297680952,0.3785954341417838,0.4257315731592615,-0.8539462412702615,0.4257315731592614,0.1078611983550071,ok,16.65053242981607
2025-26,2026-03-23,22500008,2025-10-27T21:30:00-04:00,3,Final,DEN,MIN,DEN @ MIN,204,204,5,1,6,198,0.2240946938526323,0.2606601890492153,0.8597196782141553,-0.1511488984345809,0.8597196782141555,0.6230255514232823,ok,66.69893514036787
2025-26,2026-03-23,22500009,2025-12-25T12:00:00-05:00,3,Final,CLE,NYK,CLE @ NYK,206,206,16,2,18,188,0.1998486574543548,0.1955499608738477,1.0219826000542145,0.0217444662493133,1.0219826000542145,0.9527993897706116,ok,80.15488867376574
2025-26,2026-03-23,22500010,2025-12-25T14:30:00-05:00,3,Final,SAS,OKC,SAS @ OKC,193,193,37,0,37,156,0.1321105107667067,0.2329779130238204,0.5670516533178803,-0.5673048800776092,0.5670516533178802,0.1941933644605264,ok,30.68731848983543
2025-26,2026-03-23,22500011,2025-12-25T17:00:00-05:00,3,Final,DAL,GSW,DAL @ GSW,211,211,5,0,5,206,0.1484265609864541,0.230835905880146,0.6429959863502334,-0.4416167968320659,0.6429959863502333,0.2294402420439198,ok,41.33591481122943
2025-26,2026-03-23,22500012,2025-12-25T20:00:00-05:00,3,Final,HOU,LAL,HOU @ LAL,180,180,76,0,76,104,0.4370157763462673,0.1395420514277685,3.1317855218179935,1.1416032961598357,3.131785521817994,0.0104882097866562,ok,99.80638915779284
2025-26,2026-03-23,22500013,2025-12-25T22:30:00-05:00,3,Final,MIN,DEN,MIN @ DEN,234,234,4,5,9,225,0.1287918762621439,0.2740566160723492,0.4699462399701516,-0.7551369738625021,0.4699462399701518,0.0347881082285273,ok,20.42594385285576
2025-26,2026-03-23,22500014,2026-01-19T13:00:00-05:00,3,Final,MIL,ATL,MIL @ ATL,204,204,61,2,63,141,0.2391820988075003,0.2091842424530289,1.1434039964133882,0.1340097750431195,1.143403996413388,0.7291123001621722,ok,86.64085188770572
2025-26,2026-03-23,22500015,2026-01-19T14:30:00-05:00,3,Final,OKC,CLE,OKC @ CLE,212,212,80,0,80,132,0.2087536625991844,0.3152334135539082,0.6622193385076718,-0.4121584508709516,0.6622193385076717,0.2630494946665253,ok,44.1432720232333
2025-26,2026-03-23,22500016,2026-01-19T17:00:00-05:00,3,Final,DAL,NYK,DAL @ NYK,209,209,142,0,142,67,0.0642340082927422,0.1361022419340734,0.4719540793740676,-0.7508735875912294,0.4719540793740677,0.4891388587299696,ok,20.52274927395934
2025-26,2026-03-23,22500017,2026-01-19T20:00:00-05:00,3,Final,BOS,DET,BOS @ DET,185,185,0,0,0,185,0.3245217021126148,0.343242582671079,0.9454587469515576,-0.056085022769847,0.9454587469515576,0.8301812076252306,ok,74.4433688286544
2025-26,2026-03-23,22500018,2025-10-24T19:30:00-04:00,3,Final,BOS,NYK,BOS @ NYK,186,186,47,0,47,139,0.1759864604354865,0.3163885104174328,0.5562353076706094,-0.5865638590269535,0.5562353076706095,0.1274658478147027,ok,30.009680542110356
2025-26,2026-03-23,22500019,2025-10-24T22:00:00-04:00,3,Final,MIN,LAL,MIN @ LAL,185,185,43,0,43,142,0.2808338087672108,0.3437017604228125,0.8170857444015903,-0.2020112393210885,0.8170857444015902,0.526151412450023,ok,61.27783155856727
2025-26,2026-03-23,22500020,2025-10-31T19:00:00-04:00,3,Final,ATL,IND,ATL @ IND,203,203,83,0,83,120,0.2348614000026215,0.245409244314603,0.9570193684372392,-0.043931649032583,0.9570193684372392,0.9116503327446736,ok,75.02420135527589
2025-26,2026-03-23,22500021,2025-10-31T19:00:00-04:00,3,Final,BOS,PHI,BOS @ PHI,194,194,43,1,44,150,0.1995948750767683,0.2302336567823234,0.8669230983264846,-0.1428050047209167,0.8669230983264847,0.7164839788789428,ok,67.66698935140369
2025-26,2026-03-23,22500022,2025-10-31T19:30:00-04:00,3,Final,TOR,CLE,TOR @ CLE,195,195,0,0,0,195,0.1929182235674407,0.2029264579402394,0.9506804855592262,-0.0505772502197158,0.950680485559226,0.8877779914362421,ok,74.63697967086156
2025-26,2026-03-23,22500023,2025-10-31T20:00:00-04:00,3,Final,NYK,CHI,NYK @ CHI,196,196,22,2,24,172,0.1953726690888664,0.3587727269818352,0.5445583077967858,-0.6077802573160777,0.5445583077967857,0.0593911512726761,ok,28.267182962245883
2025-26,2026-03-23,22500024,2025-10-31T21:30:00-04:00,3,Final,LAL,MEM,LAL @ MEM,195,195,1,1,2,193,0.2878288383998727,0.2428869358669032,1.1850321935700845,0.1697699417877542,1.1850321935700845,0.5650789834726448,ok,88.77057115198451
