season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,fit_status,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,fit_method,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,wmi_controlledgame_percentile
2020-21,0022000019,20201223,SAC,DEN,SAC @ DEN,data.nba.com mobile_teams v2015 play-by-play,225,ok,225,0,1,1,225,glm_poisson_log_raw_controls,0.1648908399045197,0.31336098271994844,0.5262009279945459,-0.6420721467998756,0.5262009279945459,0.03499841799033289,18.355875636746884
2020-21,0022000020,20201223,UTA,POR,UTA @ POR,data.nba.com mobile_teams v2015 play-by-play,198,ok,198,129,1,129,198,glm_poisson_log_raw_controls,0.19826005513528355,0.20367571293197348,0.9734103898853236,-0.026949507831114577,0.9734103898853236,0.9381248819471046,74.49499385209907
2020-21,0022000021,20201226,ATL,MEM,ATL @ MEM,data.nba.com mobile_teams v2015 play-by-play,209,ok,209,0,1,1,209,glm_poisson_log_raw_controls,0.2537971282038915,0.26114292669585193,0.9718705821945699,-0.028532629276759078,0.9718705821945699,0.9209991595124847,74.23151238362902
2020-21,0022000022,20201226,OKC,CHA,OKC @ CHA,data.nba.com mobile_teams v2015 play-by-play,210,ok,210,0,2,2,210,glm_poisson_log_raw_controls,0.25403653563510586,0.25915947060059225,0.9802324994968769,-0.019965491070949977,0.9802324994968769,0.9455860356635377,75.19761110135254
2020-21,0022000023,20201226,CLE,DET,CLE @ DET,data.nba.com mobile_teams v2015 play-by-play,246,ok,246,0,0,0,246,glm_poisson_log_raw_controls,0.21909512580208076,0.20782844336429268,1.0542114556381452,0.052793052044834955,1.0542114556381452,0.8623389020938269,80.78341823291761
2020-21,0022000024,20201226,ORL,WAS,ORL @ WAS,data.nba.com mobile_teams v2015 play-by-play,218,ok,218,0,1,1,218,glm_poisson_log_raw_controls,0.11975633164321205,0.2660181472664468,0.4501810604795421,-0.7981054205202862,0.4501810604795421,0.03252152520528353,10.802740207272088
2020-21,0022000025,20201226,PHI,NYK,PHI @ NYK,data.nba.com mobile_teams v2015 play-by-play,187,ok,187,31,0,31,187,glm_poisson_log_raw_controls,0.2168337840458986,0.2715947809888081,0.7983724254805687,-0.225180091805043,0.7983724254805687,0.4791530658431443,55.01493061654663
2020-21,0022000026,20201226,IND,CHI,IND @ CHI,data.nba.com mobile_teams v2015 play-by-play,214,ok,214,99,1,99,214,glm_poisson_log_raw_controls,0.1341569339223016,0.2802892826021003,0.47863740160465323,-0.736811958620066,0.47863740160465323,0.03669918020052514,13.332162304584577
2020-21,0022000027,20201226,TOR,SAS,TOR @ SAS,data.nba.com mobile_teams v2015 play-by-play,209,ok,209,0,2,2,209,glm_poisson_log_raw_controls,0.25550012363058383,0.23818127164204173,1.0727129042058785,0.07019086419919233,1.0727129042058785,0.8143087387519663,82.11839100649921
2020-21,0022000028,20201226,MIN,UTA,MIN @ UTA,data.nba.com mobile_teams v2015 play-by-play,207,ok,207,13,2,15,207,glm_poisson_log_raw_controls,0.2950951658005819,0.29440250769970233,1.0023527588344667,0.0023499954309660486,1.0023527588344667,0.9930977602629505,76.83119620586686
2020-21,0022000029,20201226,HOU,POR,HOU @ POR,data.nba.com mobile_teams v2015 play-by-play,215,ok,215,4,0,4,215,glm_poisson_log_raw_controls,0.17685365272741344,0.26116858705128687,0.6771628040116627,-0.38984355638099927,0.6771628040116627,0.21850942186859856,38.1169857720007
2020-21,0022000030,20201226,PHX,SAC,PHX @ SAC,data.nba.com mobile_teams v2015 play-by-play,208,ok,208,0,2,2,208,glm_poisson_log_raw_controls,0.213890263015899,0.2745373921124028,0.779093373657191,-0.2496243768063926,0.779093373657191,0.4057495080414354,52.169330757070085
2020-21,0022000031,20201227,DAL,LAC,DAL @ LAC,data.nba.com mobile_teams v2015 play-by-play,188,ok,188,157,0,157,188,glm_poisson_log_raw_controls,0.1590152451590566,0.26088952292526985,0.6095118093515988,-0.4950969547741918,0.6095118093515988,0.16597741239276453,28.333040576146146
