season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_z_score
2025-26,2026-03-24,0022500001,2025-10-21T19:30:00-04:00,3,Final,HOU,OKC,HOU @ OKC,225,225,0,1,1,224,0.23013136024289604,0.300722394773686,0.7652617970673102,-0.2675372853103172,0.7652617970673102,0.3705292471964453,ok,-0.0004910866240707062
2025-26,2026-03-24,0022500002,2025-10-21T22:00:00-04:00,3,Final,GSW,LAL,GSW @ LAL,201,201,11,0,11,190,0.17396136068862125,0.25615777567692327,0.6791180171240575,-0.38696035632924947,0.6791180171240575,0.26003611707940644,ok,-0.18672473139866336
2025-26,2026-03-24,0022500003,2025-10-22T19:00:00-04:00,3,Final,CLE,NYK,CLE @ NYK,208,208,10,1,11,197,0.3040136343422668,0.23451396664944985,1.2963561986766643,0.25955740482512885,1.296356198676664,0.36761914027896536,ok,1.1476782437239448
2025-26,2026-03-24,0022500004,2025-10-22T21:30:00-04:00,3,Final,SAS,DAL,SAS @ DAL,200,200,76,0,76,124,0.21161240176025037,0.34713462137776147,0.6095975126893722,-0.49495635485199413,0.6095975126893722,0.18408955859171583,ok,-0.3370206312996028
2025-26,2026-03-24,0022500005,2025-10-23T19:30:00-04:00,3,Final,OKC,IND,OKC @ IND,245,245,0,2,2,243,0.2715692847794017,0.37727035648712737,0.7198267240184499,-0.32874475702104844,0.7198267240184498,0.15897896340797335,ok,-0.09871685823594055
2025-26,2026-03-24,0022500006,2025-10-23T22:00:00-04:00,3,Final,DEN,GSW,DEN @ GSW,211,211,0,1,1,210,0.13267946256882782,0.21805288447100118,0.60847377869231,-0.4968014591965713,0.60847377869231,0.19414521306460364,ok,-0.33945002409114133
2025-26,2026-03-24,0022500007,2025-10-27T19:00:00-04:00,3,Final,CLE,DET,CLE @ DET,208,208,140,0,140,68,0.16118002976809523,0.37859543414178387,0.4257315731592615,-0.8539462412702615,0.42573157315926147,0.10786119835500713,ok,-0.7345191400851974
2025-26,2026-03-24,0022500008,2025-10-27T21:30:00-04:00,3,Final,DEN,MIN,DEN @ MIN,204,204,5,1,6,198,0.2240946938526323,0.26066018904921534,0.8597196782141553,-0.15114889843458099,0.8597196782141555,0.6230255514232823,ok,0.20371675630144837
2025-26,2026-03-24,0022500009,2025-12-25T12:00:00-05:00,3,Final,CLE,NYK,CLE @ NYK,206,206,16,2,18,188,0.1998486574543548,0.1955499608738477,1.0219826000542145,0.02174446624931338,1.0219826000542145,0.9527993897706116,ok,0.5545118498758856
2025-26,2026-03-24,0022500010,2025-12-25T14:30:00-05:00,3,Final,SAS,OKC,SAS @ OKC,193,193,37,0,37,156,0.1321105107667067,0.23297791302382045,0.5670516533178803,-0.5673048800776092,0.5670516533178802,0.19419336446052649,ok,-0.4290002317540963
2025-26,2026-03-24,0022500011,2025-12-25T17:00:00-05:00,3,Final,DAL,GSW,DAL @ GSW,211,211,5,0,5,206,0.14842656098645413,0.23083590588014602,0.6429959863502334,-0.4416167968320659,0.6429959863502333,0.22944024204391988,ok,-0.2648167010347854
2025-26,2026-03-24,0022500012,2025-12-25T20:00:00-05:00,3,Final,HOU,LAL,HOU @ LAL,180,180,76,0,76,104,0.4370157763462673,0.13954205142776852,3.1317855218179935,1.1416032961598357,3.131785521817994,0.010488209786656214,ok,5.115680260816143
2025-26,2026-03-24,0022500013,2025-12-25T22:30:00-05:00,3,Final,MIN,DEN,MIN @ DEN,234,234,4,5,9,225,0.12879187626214397,0.27405661607234927,0.46994623997015167,-0.7551369738625021,0.4699462399701518,0.034788108228527306,ok,-0.6389317563169136
2025-26,2026-03-24,0022500014,2026-01-19T13:00:00-05:00,3,Final,MIL,ATL,MIL @ ATL,204,204,61,2,63,141,0.23918209880750038,0.2091842424530289,1.1434039964133882,0.1340097750431195,1.143403996413388,0.7291123001621722,ok,0.8170119306998933
