game_id,possession_number,period,period_bucket,offense_team,defense_team,seconds_left_in_game,score_difference,L_t,F_t,N_t,M_t,score_margin_excluded_t,intentional_foul_excluded_t,controlled_excluded_t
0022400003,68,2,2,CHA,ORL,1797.0,-9,0,0,0,0,0,0,0
0022400003,69,2,2,ORL,CHA,1785.0,11,0,0,0,0,0,0,0
0022400003,70,2,2,CHA,ORL,1776.999,-11,0,0,0,0,0,0,0
0022400003,71,2,2,ORL,CHA,1762.0,11,0,0,0,0,0,0,0
0022400003,72,2,2,CHA,ORL,1752.999,-11,0,0,0,0,0,0,0
0022400003,73,2,2,ORL,CHA,1734.0,13,0,0,0,0,0,0,0
0022400003,74,2,2,CHA,ORL,1723.0,-13,0,0,0,0,0,0,0
0022400003,75,2,2,ORL,CHA,1719.0,15,0,0,0,0,1,0,1
0022400003,76,2,2,CHA,ORL,1711.0,-15,0,0,0,0,1,0,1
0022400003,77,2,2,ORL,CHA,1693.0,17,0,0,0,0,1,0,1
0022400003,78,2,2,CHA,ORL,1682.0,-17,0,0,1,0,1,0,1
0022400003,79,2,2,ORL,CHA,1677.0,17,0,0,1,0,1,0,1
0022400003,80,2,2,CHA,ORL,1674.991,-15,0,1,0,1,1,0,1
0022400003,81,2,2,ORL,CHA,1662.0,17,1,0,0,0,1,0,1
0022400003,82,2,2,CHA,ORL,1649.0,-17,1,0,0,0,1,0,1
0022400003,83,2,2,ORL,CHA,1641.999,17,0,0,0,0,1,0,1
0022400003,84,2,2,CHA,ORL,1637.999,-15,0,0,0,0,1,0,1
0022400003,85,2,2,ORL,CHA,1623.0,15,0,0,0,0,1,0,1
0022400003,86,2,2,CHA,ORL,1609.999,-15,0,0,0,0,1,0,1
0022400003,87,2,2,ORL,CHA,1592.0,15,0,0,0,0,1,0,1
0022400003,88,2,2,CHA,ORL,1583.0,-15,0,0,0,0,1,0,1
0022400003,89,2,2,ORL,CHA,1579.0,17,0,0,0,0,1,0,1
0022400003,90,2,2,CHA,ORL,1570.0,-15,0,0,0,0,1,0,1
0022400003,91,2,2,ORL,CHA,1550.0,17,0,0,0,0,1,0,1
0022400003,92,2,2,CHA,ORL,1540.0,-14,0,0,1,0,0,0,0
0022400003,93,2,2,ORL,CHA,1518.0,14,0,0,1,0,0,0,0
0022400003,94,2,2,CHA,ORL,1502.995,-14,0,1,0,1,0,0,0
0022400003,95,2,2,ORL,CHA,1488.899,14,1,0,0,0,0,0,0
0022400003,96,2,2,CHA,ORL,1469.1,-11,1,0,0,0,0,0,0
0022400003,97,2,2,ORL,CHA,1448.1,11,0,0,0,0,0,0,0
0022400003,98,3,3,CHA,ORL,1418.0,-9,0,0,0,0,0,0,0
0022400003,99,3,3,ORL,CHA,1384.0,9,0,0,0,0,0,0,0
0022400003,100,3,3,CHA,ORL,1368.0,-6,0,0,0,0,0,0,0
0022400003,101,3,3,ORL,CHA,1352.0,8,0,0,0,0,0,0,0
0022400003,102,3,3,CHA,ORL,1327.0,-5,0,0,1,0,0,0,0
0022400003,103,3,3,ORL,CHA,1313.0,5,0,0,1,0,0,0,0
0022400003,104,3,3,CHA,ORL,1288.0,-5,0,1,0,1,0,0,0
0022400003,105,3,3,ORL,CHA,1281.0,8,1,0,0,0,0,0,0
0022400003,106,3,3,CHA,ORL,1264.999,-8,1,0,1,0,0,0,0
0022400003,107,3,3,ORL,CHA,1254.0,8,0,0,1,0,0,0,0
0022400003,108,3,3,CHA,ORL,1240.0,-8,0,1,0,1,0,0,0
0022400003,109,3,3,ORL,CHA,1227.0,10,1,0,0,0,0,0,0
0022400003,110,3,3,CHA,ORL,1216.0,-10,1,0,0,0,0,0,0
0022400003,111,3,3,ORL,CHA,1203.0,12,0,0,0,0,0,0,0
0022400003,112,3,3,CHA,ORL,1190.0,-10,0,0,0,0,0,0,0
0022400003,113,3,3,ORL,CHA,1169.0,10,0,0,0,0,0,0,0
0022400003,114,3,3,CHA,ORL,1150.0,-10,0,0,0,0,0,0,0
0022400003,115,3,3,ORL,CHA,1145.0,10,0,0,0,0,0,0,0
0022400003,116,3,3,CHA,ORL,1138.0,-10,0,0,0,0,0,0,0
0022400003,117,3,3,ORL,CHA,1122.999,10,0,0,1,0,0,0,0
0022400003,118,3,3,CHA,ORL,1110.0,-8,0,0,1,0,0,0,0
0022400003,119,3,3,ORL,CHA,1086.0,9,0,1,0,1,0,0,0
