season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_game,wmi_game_percentile
2025-26,2026-03-23,22500029,2025-11-07T19:00:00-05:00,3,Final,CLE,WAS,CLE @ WAS,207,68,139,0.1617647058823529,0.2517985611510791,0.642436974789916,19.245647969052225
2025-26,2026-03-23,22500030,2025-11-07T19:30:00-05:00,3,Final,TOR,ATL,TOR @ ATL,200,66,134,0.1818181818181818,0.2388059701492537,0.7613636363636364,35.25145067698259
2025-26,2026-03-23,22500031,2025-11-07T19:30:00-05:00,3,Final,DET,BKN,DET @ BKN,199,76,123,0.2631578947368421,0.2845528455284553,0.924812030075188,55.51257253384912
2025-26,2026-03-23,22500032,2025-11-07T19:30:00-05:00,3,Final,HOU,SAS,HOU @ SAS,200,68,132,0.1911764705882352,0.2575757575757575,0.7422145328719723,32.39845261121857
2025-26,2026-03-23,22500033,2025-11-07T20:00:00-05:00,3,Final,CHA,MIA,CHA @ MIA,211,62,149,0.1612903225806451,0.2147651006711409,0.751008064516129,33.65570599613153
2025-26,2026-03-23,22500034,2025-11-07T20:00:00-05:00,3,Final,DAL,MEM,DAL @ MEM,198,68,130,0.2352941176470588,0.2538461538461538,0.9269162210338682,55.947775628626694
2025-26,2026-03-23,22500035,2025-11-07T20:00:00-05:00,3,Final,CHI,MIL,CHI @ MIL,211,65,146,0.1692307692307692,0.2191780821917808,0.7721153846153846,36.94390715667311
2025-26,2026-03-23,22500036,2025-11-07T20:00:00-05:00,3,Final,UTA,MIN,UTA @ MIN,210,69,141,0.2318840579710145,0.2411347517730496,0.9616368286445014,59.57446808510638
2025-26,2026-03-23,22500037,2025-11-07T22:00:00-05:00,3,Final,GSW,DEN,GSW @ DEN,190,56,134,0.3392857142857143,0.1865671641791045,1.8185714285714285,97.87234042553192
2025-26,2026-03-23,22500038,2025-11-07T22:00:00-05:00,3,Final,OKC,SAC,OKC @ SAC,209,54,155,0.0925925925925925,0.1741935483870967,0.5315500685871056,10.9284332688588
2025-26,2026-03-23,22500039,2025-11-14T19:00:00-05:00,3,Final,MIA,NYK,MIA @ NYK,203,77,126,0.2077922077922078,0.3095238095238095,0.6713286713286714,23.11411992263056
2025-26,2026-03-23,22500040,2025-11-14T19:00:00-05:00,3,Final,BKN,ORL,BKN @ ORL,185,55,130,0.2181818181818181,0.1923076923076923,1.1345454545454543,74.80657640232108
2025-26,2026-03-23,22500041,2025-11-14T19:30:00-05:00,3,Final,PHI,DET,PHI @ DET,198,53,145,0.2075471698113207,0.1862068965517241,1.1146051712089449,73.69439071566731
2025-26,2026-03-23,22500042,2025-11-14T20:00:00-05:00,3,Final,POR,HOU,POR @ HOU,201,66,135,0.2272727272727272,0.2592592592592592,0.8766233766233766,49.51644100580271
2025-26,2026-03-23,22500043,2025-11-14T20:00:00-05:00,3,Final,CHA,MIL,CHA @ MIL,219,71,148,0.1267605633802817,0.2432432432432432,0.5211267605633803,9.477756286266924
2025-26,2026-03-23,22500044,2025-11-14T20:00:00-05:00,3,Final,SAC,MIN,SAC @ MIN,208,78,130,0.2051282051282051,0.3076923076923077,0.6666666666666666,22.727272727272727
2025-26,2026-03-23,22500045,2025-11-14T20:00:00-05:00,3,Final,LAL,NOP,LAL @ NOP,207,60,147,0.2666666666666666,0.2108843537414966,1.264516129032258,83.07543520309478
2025-26,2026-03-23,22500046,2025-11-14T20:30:00-05:00,3,Final,LAC,DAL,LAC @ DAL,249,89,160,0.3258426966292135,0.2625,1.2413055109684323,81.43133462282398
2025-26,2026-03-23,22500047,2025-11-14T21:30:00-05:00,3,Final,GSW,SAS,GSW @ SAS,193,50,143,0.22,0.1748251748251748,1.2584,82.7852998065764
2025-26,2026-03-23,22500048,2025-11-21T19:00:00-05:00,3,Final,IND,CLE,IND @ CLE,205,74,131,0.2837837837837837,0.2671755725190839,1.0621621621621622,69.0522243713733
2025-26,2026-03-23,22500049,2025-11-21T19:30:00-05:00,3,Final,BKN,BOS,BKN @ BOS,192,66,126,0.2272727272727272,0.2539682539682539,0.8948863636363636,52.70793036750485
2025-26,2026-03-23,22500050,2025-11-21T19:30:00-05:00,3,Final,WAS,TOR,WAS @ TOR,209,72,137,0.2361111111111111,0.2554744525547445,0.9242063492063493,55.319148936170215
2025-26,2026-03-23,22500051,2025-11-21T20:00:00-05:00,3,Final,MIA,CHI,MIA @ CHI,217,76,141,0.2631578947368421,0.2907801418439716,0.9050064184852376,53.481624758220505
2025-26,2026-03-23,22500052,2025-11-21T20:30:00-05:00,3,Final,NOP,DAL,NOP @ DAL,210,66,144,0.2272727272727272,0.2291666666666666,0.9917355371900828,62.37911025145067
2025-26,2026-03-23,22500053,2025-11-21T21:00:00-05:00,3,Final,MIN,PHX,MIN @ PHX,206,76,130,0.3026315789473684,0.2769230769230769,1.0928362573099415,71.1798839458414
2025-26,2026-03-23,22500054,2025-11-21T21:30:00-05:00,3,Final,DEN,HOU,DEN @ HOU,188,64,124,0.296875,0.2580645161290322,1.150390625,76.30560928433269
2025-26,2026-03-23,22500055,2025-11-21T22:00:00-05:00,3,Final,OKC,UTA,OKC @ UTA,205,58,147,0.2413793103448276,0.1972789115646258,1.2235434007134365,80.75435203094777
2025-26,2026-03-23,22500056,2025-11-21T22:00:00-05:00,3,Final,POR,GSW,POR @ GSW,201,77,124,0.1818181818181818,0.2983870967741935,0.6093366093366094,16.150870406189554
2025-26,2026-03-23,22500057,2025-11-25T19:00:00-05:00,3,Final,ATL,WAS,ATL @ WAS,205,62,143,0.1129032258064516,0.2237762237762237,0.5045362903225806,8.220502901353965
2025-26,2026-03-23,22500058,2025-11-25T20:00:00-05:00,3,Final,ORL,PHI,ORL @ PHI,211,63,148,0.3174603174603174,0.2027027027027027,1.566137566137566,94.77756286266924
2025-26,2026-03-23,22500059,2025-11-25T23:00:00-05:00,3,Final,LAC,LAL,LAC @ LAL,191,68,123,0.2647058823529412,0.2845528455284553,0.9302521008403362,56.47969052224371
2025-26,2026-03-23,22500060,2025-11-26T17:00:00-05:00,3,Final,DET,BOS,DET @ BOS,192,68,124,0.2647058823529412,0.2661290322580645,0.9946524064171124,62.66924564796905
2025-26,2026-03-23,22500061,2025-11-26T19:00:00-05:00,3,Final,NYK,CHA,NYK @ CHA,196,61,135,0.0983606557377049,0.237037037037037,0.4149590163934426,3.8684719535783367
2025-26,2026-03-23,22500062,2025-11-26T19:30:00-05:00,3,Final,MIL,MIA,MIL @ MIA,200,41,159,0.0975609756097561,0.1383647798742138,0.7050997782705101,27.466150870406192
2025-26,2026-03-23,22500063,2025-11-26T19:30:00-05:00,3,Final,IND,TOR,IND @ TOR,200,62,138,0.2096774193548387,0.217391304347826,0.964516129032258,59.67117988394585
2025-26,2026-03-23,22500064,2025-11-26T19:30:00-05:00,3,Final,MIN,OKC,MIN @ OKC,197,86,111,0.2441860465116279,0.3873873873873873,0.6303407247160627,18.3752417794971
2025-26,2026-03-23,22500065,2025-11-26T20:00:00-05:00,3,Final,MEM,NOP,MEM @ NOP,216,59,157,0.2033898305084746,0.1783439490445859,1.1404358353510895,75.43520309477756
