season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,source,wmi_percentile
2019-20,2019,Regular Season,0021900025,2019-10-25,UTA,LAL,UTA @ LAL,86,95,,191,69,122,0.3333333333333333,0.26229508196721313,1.2708333333333333,data.nba.com mobile_teams v2015 play-by-play,81.93509615384616
2019-20,2019,Regular Season,0021900026,2019-10-26,MIA,MIL,MIA @ MIL,131,126,,247,87,160,0.22988505747126436,0.275,0.8359456635318704,data.nba.com mobile_teams v2015 play-by-play,41.69471153846154
2019-20,2019,Regular Season,0021900027,2019-10-26,PHI,DET,PHI @ DET,117,111,,216,87,129,0.2988505747126437,0.3178294573643411,0.9402859545836838,data.nba.com mobile_teams v2015 play-by-play,53.46153846153846
2019-20,2019,Regular Season,0021900028,2019-10-26,ORL,ATL,ORL @ ATL,99,103,,202,62,140,0.1935483870967742,0.22142857142857142,0.8740894901144641,data.nba.com mobile_teams v2015 play-by-play,45.79927884615385
2019-20,2019,Regular Season,0021900029,2019-10-26,BOS,NYK,BOS @ NYK,118,95,,202,84,118,0.19047619047619047,0.3474576271186441,0.5481997677119628,data.nba.com mobile_teams v2015 play-by-play,11.55048076923077
2019-20,2019,Regular Season,0021900030,2019-10-26,IND,CLE,IND @ CLE,99,110,,196,65,131,0.18461538461538463,0.25190839694656486,0.732867132867133,data.nba.com mobile_teams v2015 play-by-play,29.85576923076923
2019-20,2019,Regular Season,0021900031,2019-10-26,TOR,CHI,TOR @ CHI,108,84,,212,75,137,0.28,0.24817518248175183,1.1282352941176472,data.nba.com mobile_teams v2015 play-by-play,71.81490384615384
2019-20,2019,Regular Season,0021900032,2019-10-26,NOP,HOU,NOP @ HOU,123,126,,222,78,144,0.3076923076923077,0.2847222222222222,1.0806754221388368,data.nba.com mobile_teams v2015 play-by-play,67.8125
2019-20,2019,Regular Season,0021900033,2019-10-26,WAS,SAS,WAS @ SAS,122,124,,200,52,148,0.11538461538461539,0.17567567567567569,0.6568047337278107,data.nba.com mobile_teams v2015 play-by-play,21.11778846153846
2019-20,2019,Regular Season,0021900034,2019-10-26,SAC,UTA,SAC @ UTA,81,113,,193,54,139,0.1111111111111111,0.2014388489208633,0.5515873015873015,data.nba.com mobile_teams v2015 play-by-play,11.766826923076923
