season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_rawgame,wmi_rawgame_z_score
2025-26,2026-03-23,0022500032,2025-11-07T19:30:00-05:00,3,Final,HOU,SAS,HOU @ SAS,200,68,132,0.19117647058823528,0.25757575757575757,0.7422145328719723,-0.5357419923157779
2025-26,2026-03-23,0022500033,2025-11-07T20:00:00-05:00,3,Final,CHA,MIA,CHA @ MIA,211,62,149,0.16129032258064516,0.21476510067114093,0.751008064516129,-0.5112353647016074
2025-26,2026-03-23,0022500034,2025-11-07T20:00:00-05:00,3,Final,DAL,MEM,DAL @ MEM,198,68,130,0.23529411764705882,0.25384615384615383,0.9269162210338682,-0.02099823808137779
2025-26,2026-03-23,0022500035,2025-11-07T20:00:00-05:00,3,Final,CHI,MIL,CHI @ MIL,211,65,146,0.16923076923076924,0.2191780821917808,0.7721153846153846,-0.4524115320780813
2025-26,2026-03-23,0022500036,2025-11-07T20:00:00-05:00,3,Final,UTA,MIN,UTA @ MIN,210,69,141,0.2318840579710145,0.24113475177304963,0.9616368286445014,0.07576436375868424
2025-26,2026-03-23,0022500037,2025-11-07T22:00:00-05:00,3,Final,GSW,DEN,GSW @ DEN,190,56,134,0.3392857142857143,0.1865671641791045,1.8185714285714285,2.463948995363691
2025-26,2026-03-23,0022500038,2025-11-07T22:00:00-05:00,3,Final,OKC,SAC,OKC @ SAC,209,54,155,0.09259259259259259,0.17419354838709677,0.5315500685871056,-1.1228412132753718
2025-26,2026-03-23,0022500039,2025-11-14T19:00:00-05:00,3,Final,MIA,NYK,MIA @ NYK,203,77,126,0.2077922077922078,0.30952380952380953,0.6713286713286714,-0.7332932700331524
2025-26,2026-03-23,0022500040,2025-11-14T19:00:00-05:00,3,Final,BKN,ORL,BKN @ ORL,185,55,130,0.21818181818181817,0.19230769230769232,1.1345454545454545,0.5576421209221922
2025-26,2026-03-23,0022500041,2025-11-14T19:30:00-05:00,3,Final,PHI,DET,PHI @ DET,198,53,145,0.20754716981132076,0.18620689655172415,1.1146051712089449,0.5020706943300549
2025-26,2026-03-23,0022500042,2025-11-14T20:00:00-05:00,3,Final,POR,HOU,POR @ HOU,201,66,135,0.22727272727272727,0.25925925925925924,0.8766233766233766,-0.16115899026839367
2025-26,2026-03-23,0022500043,2025-11-14T20:00:00-05:00,3,Final,CHA,MIL,CHA @ MIL,219,71,148,0.1267605633802817,0.24324324324324326,0.5211267605633803,-1.151889852500429
