season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,error_message
2021-22,2021,Regular Season,0022100965,2022-03-06,UTA,OKC,UTA @ OKC,116,103,,No mobile play-by-play rows found for game_id 0022100965.
2021-22,2021,Regular Season,0022100964,2022-03-06,MEM,HOU,MEM @ HOU,112,123,,No mobile play-by-play rows found for game_id 0022100964.
2021-22,2021,Regular Season,0022100962,2022-03-06,TOR,CLE,TOR @ CLE,96,104,,No mobile play-by-play rows found for game_id 0022100962.
2021-22,2021,Regular Season,0022100967,2022-03-06,NOP,DEN,NOP @ DEN,130,138,,No mobile play-by-play rows found for game_id 0022100967.
2021-22,2021,Regular Season,0022100966,2022-03-06,NYK,LAC,NYK @ LAC,116,93,,No mobile play-by-play rows found for game_id 0022100966.
2021-22,2021,Regular Season,0022100968,2022-03-07,ATL,DET,ATL @ DET,110,113,,No mobile play-by-play rows found for game_id 0022100968.
2021-22,2021,Regular Season,0022100969,2022-03-07,CHI,PHI,CHI @ PHI,106,121,,No mobile play-by-play rows found for game_id 0022100969.
2021-22,2021,Regular Season,0022100970,2022-03-07,HOU,MIA,HOU @ MIA,106,123,,No mobile play-by-play rows found for game_id 0022100970.
2021-22,2021,Regular Season,0022100971,2022-03-07,POR,MIN,POR @ MIN,81,124,,No mobile play-by-play rows found for game_id 0022100971.
2021-22,2021,Regular Season,0022100972,2022-03-07,UTA,DAL,UTA @ DAL,103,111,,No mobile play-by-play rows found for game_id 0022100972.
2021-22,2021,Regular Season,0022100528,2022-03-07,GSW,DEN,GSW @ DEN,124,131,,No mobile play-by-play rows found for game_id 0022100528.
2021-22,2021,Regular Season,0022100973,2022-03-07,LAL,SAS,LAL @ SAS,110,117,,No mobile play-by-play rows found for game_id 0022100973.
2021-22,2021,Regular Season,0022100974,2022-03-07,NYK,SAC,NYK @ SAC,131,115,,No mobile play-by-play rows found for game_id 0022100974.
2021-22,2021,Regular Season,0022100975,2022-03-08,BKN,CHA,BKN @ CHA,132,121,,No mobile play-by-play rows found for game_id 0022100975.
2021-22,2021,Regular Season,0022100976,2022-03-08,CLE,IND,CLE @ IND,127,124,,No mobile play-by-play rows found for game_id 0022100976.
2021-22,2021,Regular Season,0022100977,2022-03-08,PHX,ORL,PHX @ ORL,102,99,,No mobile play-by-play rows found for game_id 0022100977.
2021-22,2021,Regular Season,0022100978,2022-03-08,NOP,MEM,NOP @ MEM,111,132,,No mobile play-by-play rows found for game_id 0022100978.
2021-22,2021,Regular Season,0022100979,2022-03-08,MIL,OKC,MIL @ OKC,142,115,,No mobile play-by-play rows found for game_id 0022100979.
2021-22,2021,Regular Season,0022100980,2022-03-08,LAC,GSW,LAC @ GSW,97,112,,No mobile play-by-play rows found for game_id 0022100980.
2021-22,2021,Regular Season,0022100981,2022-03-09,BOS,CHA,BOS @ CHA,115,101,,No mobile play-by-play rows found for game_id 0022100981.
2021-22,2021,Regular Season,0022100982,2022-03-09,CHI,DET,CHI @ DET,114,108,,No mobile play-by-play rows found for game_id 0022100982.
2021-22,2021,Regular Season,0022100983,2022-03-09,PHX,MIA,PHX @ MIA,111,90,,No mobile play-by-play rows found for game_id 0022100983.
2021-22,2021,Regular Season,0022100985,2022-03-09,LAL,HOU,LAL @ HOU,130,139,,No mobile play-by-play rows found for game_id 0022100985.
2021-22,2021,Regular Season,0022100984,2022-03-09,ATL,MIL,ATL @ MIL,115,124,,No mobile play-by-play rows found for game_id 0022100984.
2021-22,2021,Regular Season,0022100986,2022-03-09,OKC,MIN,OKC @ MIN,102,132,,No mobile play-by-play rows found for game_id 0022100986.
2021-22,2021,Regular Season,0022100987,2022-03-09,ORL,NOP,ORL @ NOP,108,102,,No mobile play-by-play rows found for game_id 0022100987.
2021-22,2021,Regular Season,0022100988,2022-03-09,NYK,DAL,NYK @ DAL,107,77,,No mobile play-by-play rows found for game_id 0022100988.
2021-22,2021,Regular Season,0022100989,2022-03-09,TOR,SAS,TOR @ SAS,119,104,,No mobile play-by-play rows found for game_id 0022100989.
2021-22,2021,Regular Season,0022100990,2022-03-09,POR,UTA,POR @ UTA,85,123,,No mobile play-by-play rows found for game_id 0022100990.
2021-22,2021,Regular Season,0022100991,2022-03-09,DEN,SAC,DEN @ SAC,106,100,,No mobile play-by-play rows found for game_id 0022100991.
2021-22,2021,Regular Season,0022100992,2022-03-09,WAS,LAC,WAS @ LAC,109,115,,No mobile play-by-play rows found for game_id 0022100992.
2021-22,2021,Regular Season,0022100993,2022-03-10,BKN,PHI,BKN @ PHI,129,100,,No mobile play-by-play rows found for game_id 0022100993.
2021-22,2021,Regular Season,0022100994,2022-03-10,GSW,DEN,GSW @ DEN,113,102,,No mobile play-by-play rows found for game_id 0022100994.
2021-22,2021,Regular Season,0022100995,2022-03-11,MIN,ORL,MIN @ ORL,110,118,,No mobile play-by-play rows found for game_id 0022100995.
2021-22,2021,Regular Season,0022100996,2022-03-11,LAC,ATL,LAC @ ATL,106,112,,No mobile play-by-play rows found for game_id 0022100996.
2021-22,2021,Regular Season,0022100997,2022-03-11,DET,BOS,DET @ BOS,103,114,,No mobile play-by-play rows found for game_id 0022100997.
2021-22,2021,Regular Season,0022100998,2022-03-11,CLE,MIA,CLE @ MIA,105,117,,No mobile play-by-play rows found for game_id 0022100998.
2021-22,2021,Regular Season,0022100999,2022-03-11,DAL,HOU,DAL @ HOU,113,100,,No mobile play-by-play rows found for game_id 0022100999.
2021-22,2021,Regular Season,0022101000,2022-03-11,NYK,MEM,NYK @ MEM,114,118,,No mobile play-by-play rows found for game_id 0022101000.
2021-22,2021,Regular Season,0022101001,2022-03-11,CHA,NOP,CHA @ NOP,142,120,,No mobile play-by-play rows found for game_id 0022101001.
2021-22,2021,Regular Season,0022101002,2022-03-11,UTA,SAS,UTA @ SAS,102,104,,No mobile play-by-play rows found for game_id 0022101002.
2021-22,2021,Regular Season,0022101004,2022-03-11,WAS,LAL,WAS @ LAL,109,122,,No mobile play-by-play rows found for game_id 0022101004.
2021-22,2021,Regular Season,0022101003,2022-03-11,TOR,PHX,TOR @ PHX,117,112,,No mobile play-by-play rows found for game_id 0022101003.
2021-22,2021,Regular Season,0022101005,2022-03-12,MIN,MIA,MIN @ MIA,113,104,,No mobile play-by-play rows found for game_id 0022101005.
2021-22,2021,Regular Season,0022101006,2022-03-12,CLE,CHI,CLE @ CHI,91,101,,No mobile play-by-play rows found for game_id 0022101006.
2021-22,2021,Regular Season,0022101007,2022-03-12,IND,SAS,IND @ SAS,119,108,,No mobile play-by-play rows found for game_id 0022101007.
2021-22,2021,Regular Season,0022101008,2022-03-12,MIL,GSW,MIL @ GSW,109,122,,No mobile play-by-play rows found for game_id 0022101008.
2021-22,2021,Regular Season,0022101009,2022-03-12,TOR,DEN,TOR @ DEN,127,115,,No mobile play-by-play rows found for game_id 0022101009.
2021-22,2021,Regular Season,0022101010,2022-03-12,SAC,UTA,SAC @ UTA,125,134,,No mobile play-by-play rows found for game_id 0022101010.
2021-22,2021,Regular Season,0022101011,2022-03-12,WAS,POR,WAS @ POR,118,127,,No mobile play-by-play rows found for game_id 0022101011.
2021-22,2021,Regular Season,0022101012,2022-03-13,NYK,BKN,NYK @ BKN,107,110,,No mobile play-by-play rows found for game_id 0022101012.
2021-22,2021,Regular Season,0022101013,2022-03-13,LAC,DET,LAC @ DET,106,102,,No mobile play-by-play rows found for game_id 0022101013.
2021-22,2021,Regular Season,0022101014,2022-03-13,DAL,BOS,DAL @ BOS,95,92,,No mobile play-by-play rows found for game_id 0022101014.
2021-22,2021,Regular Season,0022101015,2022-03-13,PHI,ORL,PHI @ ORL,116,114,,No mobile play-by-play rows found for game_id 0022101015.
2021-22,2021,Regular Season,0022101016,2022-03-13,IND,ATL,IND @ ATL,128,131,,No mobile play-by-play rows found for game_id 0022101016.
2021-22,2021,Regular Season,0022101017,2022-03-13,HOU,NOP,HOU @ NOP,105,130,,No mobile play-by-play rows found for game_id 0022101017.
2021-22,2021,Regular Season,0022101018,2022-03-13,MEM,OKC,MEM @ OKC,125,118,,No mobile play-by-play rows found for game_id 0022101018.
2021-22,2021,Regular Season,0022101019,2022-03-13,LAL,PHX,LAL @ PHX,111,140,,No mobile play-by-play rows found for game_id 0022101019.
2021-22,2021,Regular Season,0022101020,2022-03-14,LAC,CLE,LAC @ CLE,111,120,,No mobile play-by-play rows found for game_id 0022101020.
2021-22,2021,Regular Season,0022101021,2022-03-14,POR,ATL,POR @ ATL,113,122,,No mobile play-by-play rows found for game_id 0022101021.
2021-22,2021,Regular Season,0022101022,2022-03-14,DEN,PHI,DEN @ PHI,114,110,,No mobile play-by-play rows found for game_id 0022101022.
2021-22,2021,Regular Season,0022101023,2022-03-14,CHA,OKC,CHA @ OKC,134,116,,No mobile play-by-play rows found for game_id 0022101023.
2021-22,2021,Regular Season,0022101024,2022-03-14,MIN,SAS,MIN @ SAS,149,139,,No mobile play-by-play rows found for game_id 0022101024.
2021-22,2021,Regular Season,0022101025,2022-03-14,WAS,GSW,WAS @ GSW,112,126,,No mobile play-by-play rows found for game_id 0022101025.
2021-22,2021,Regular Season,0022101026,2022-03-14,CHI,SAC,CHI @ SAC,103,112,,No mobile play-by-play rows found for game_id 0022101026.
2021-22,2021,Regular Season,0022101027,2022-03-14,MIL,UTA,MIL @ UTA,117,111,,No mobile play-by-play rows found for game_id 0022101027.
2021-22,2021,Regular Season,0022101028,2022-03-14,TOR,LAL,TOR @ LAL,114,103,,No mobile play-by-play rows found for game_id 0022101028.
2021-22,2021,Regular Season,0022101029,2022-03-15,MEM,IND,MEM @ IND,135,102,,No mobile play-by-play rows found for game_id 0022101029.
2021-22,2021,Regular Season,0022101032,2022-03-15,PHX,NOP,PHX @ NOP,131,115,,No mobile play-by-play rows found for game_id 0022101032.
2021-22,2021,Regular Season,0022101031,2022-03-15,DET,MIA,DET @ MIA,98,105,,No mobile play-by-play rows found for game_id 0022101031.
2021-22,2021,Regular Season,0022101034,2022-03-16,PHI,CLE,PHI @ CLE,118,114,,No mobile play-by-play rows found for game_id 0022101034.
2021-22,2021,Regular Season,0022101036,2022-03-16,DAL,BKN,DAL @ BKN,113,111,,No mobile play-by-play rows found for game_id 0022101036.
2021-22,2021,Regular Season,0022101037,2022-03-16,POR,NYK,POR @ NYK,98,128,,No mobile play-by-play rows found for game_id 0022101037.
2021-22,2021,Regular Season,0022101035,2022-03-16,DEN,WAS,DEN @ WAS,127,109,,No mobile play-by-play rows found for game_id 0022101035.
2021-22,2021,Regular Season,0022101038,2022-03-16,PHX,HOU,PHX @ HOU,129,112,,No mobile play-by-play rows found for game_id 0022101038.
2021-22,2021,Regular Season,0022101041,2022-03-16,CHI,UTA,CHI @ UTA,110,125,,No mobile play-by-play rows found for game_id 0022101041.
2021-22,2021,Regular Season,0022101040,2022-03-16,OKC,SAS,OKC @ SAS,120,122,,No mobile play-by-play rows found for game_id 0022101040.
2021-22,2021,Regular Season,0022101042,2022-03-16,BOS,GSW,BOS @ GSW,110,88,,No mobile play-by-play rows found for game_id 0022101042.
2021-22,2021,Regular Season,0022101043,2022-03-16,MIL,SAC,MIL @ SAC,135,126,,No mobile play-by-play rows found for game_id 0022101043.
2021-22,2021,Regular Season,0022101044,2022-03-16,TOR,LAC,TOR @ LAC,103,100,,No mobile play-by-play rows found for game_id 0022101044.
2021-22,2021,Regular Season,0022101045,2022-03-17,DET,ORL,DET @ ORL,134,120,,No mobile play-by-play rows found for game_id 0022101045.
2021-22,2021,Regular Season,0022101046,2022-03-18,DAL,PHI,DAL @ PHI,101,111,,No mobile play-by-play rows found for game_id 0022101046.
2021-22,2021,Regular Season,0022101047,2022-03-18,MEM,ATL,MEM @ ATL,105,120,,No mobile play-by-play rows found for game_id 0022101047.
2021-22,2021,Regular Season,0022101048,2022-03-18,POR,BKN,POR @ BKN,123,128,,No mobile play-by-play rows found for game_id 0022101048.
2021-22,2021,Regular Season,0022101049,2022-03-18,DEN,CLE,DEN @ CLE,116,119,,No mobile play-by-play rows found for game_id 0022101049.
2021-22,2021,Regular Season,0022101050,2022-03-18,WAS,NYK,WAS @ NYK,97,100,,No mobile play-by-play rows found for game_id 0022101050.
2021-22,2021,Regular Season,0022101053,2022-03-18,IND,HOU,IND @ HOU,121,118,,No mobile play-by-play rows found for game_id 0022101053.
2021-22,2021,Regular Season,0022101051,2022-03-18,LAL,TOR,LAL @ TOR,128,123,,No mobile play-by-play rows found for game_id 0022101051.
2021-22,2021,Regular Season,0022101052,2022-03-18,OKC,MIA,OKC @ MIA,108,120,,No mobile play-by-play rows found for game_id 0022101052.
2021-22,2021,Regular Season,0022101054,2022-03-18,NOP,SAS,NOP @ SAS,124,91,,No mobile play-by-play rows found for game_id 0022101054.
2021-22,2021,Regular Season,0022101055,2022-03-18,LAC,UTA,LAC @ UTA,92,121,,No mobile play-by-play rows found for game_id 0022101055.
2021-22,2021,Regular Season,0022101056,2022-03-18,CHI,PHX,CHI @ PHX,102,129,,No mobile play-by-play rows found for game_id 0022101056.
2021-22,2021,Regular Season,0022101057,2022-03-18,BOS,SAC,BOS @ SAC,126,97,,No mobile play-by-play rows found for game_id 0022101057.
2021-22,2021,Regular Season,0022101058,2022-03-19,MIL,MIN,MIL @ MIN,119,138,,No mobile play-by-play rows found for game_id 0022101058.
2021-22,2021,Regular Season,0022101059,2022-03-19,DAL,CHA,DAL @ CHA,108,129,,No mobile play-by-play rows found for game_id 0022101059.
2021-22,2021,Regular Season,0022101060,2022-03-19,DET,CLE,DET @ CLE,109,113,,No mobile play-by-play rows found for game_id 0022101060.
2021-22,2021,Regular Season,0022101064,2022-03-20,NOP,ATL,NOP @ ATL,117,112,,No mobile play-by-play rows found for game_id 0022101064.
2021-22,2021,Regular Season,0022101063,2022-03-20,MEM,HOU,MEM @ HOU,122,98,,No mobile play-by-play rows found for game_id 0022101063.
2021-22,2021,Regular Season,0022101065,2022-03-20,OKC,ORL,OKC @ ORL,85,90,,No mobile play-by-play rows found for game_id 0022101065.
2021-22,2021,Regular Season,0022101061,2022-03-19,LAL,WAS,LAL @ WAS,119,127,,No mobile play-by-play rows found for game_id 0022101061.
2021-22,2021,Regular Season,0022101066,2022-03-20,PHX,SAC,PHX @ SAC,127,124,,No mobile play-by-play rows found for game_id 0022101066.
2021-22,2021,Regular Season,0022101067,2022-03-20,UTA,NYK,UTA @ NYK,108,93,,No mobile play-by-play rows found for game_id 0022101067.
2021-22,2021,Regular Season,0022101068,2022-03-20,BOS,DEN,BOS @ DEN,124,104,,No mobile play-by-play rows found for game_id 0022101068.
2021-22,2021,Regular Season,0022101069,2022-03-20,TOR,PHI,TOR @ PHI,93,88,,No mobile play-by-play rows found for game_id 0022101069.
2021-22,2021,Regular Season,0022101070,2022-03-20,SAS,GSW,SAS @ GSW,110,108,,No mobile play-by-play rows found for game_id 0022101070.
2021-22,2021,Regular Season,0022101071,2022-03-21,NOP,CHA,NOP @ CHA,103,106,,No mobile play-by-play rows found for game_id 0022101071.
2021-22,2021,Regular Season,0022101073,2022-03-21,POR,DET,POR @ DET,119,115,,No mobile play-by-play rows found for game_id 0022101073.
2021-22,2021,Regular Season,0022101074,2022-03-21,MIA,PHI,MIA @ PHI,106,113,,No mobile play-by-play rows found for game_id 0022101074.
2021-22,2021,Regular Season,0022101075,2022-03-21,UTA,BKN,UTA @ BKN,106,114,,No mobile play-by-play rows found for game_id 0022101075.
2021-22,2021,Regular Season,0022101078,2022-03-21,BOS,OKC,BOS @ OKC,132,123,,No mobile play-by-play rows found for game_id 0022101078.
2021-22,2021,Regular Season,0022101077,2022-03-21,WAS,HOU,WAS @ HOU,97,115,,No mobile play-by-play rows found for game_id 0022101077.
2021-22,2021,Regular Season,0022101076,2022-03-21,TOR,CHI,TOR @ CHI,99,113,,No mobile play-by-play rows found for game_id 0022101076.
